period,community_id,nb_actors,nb_films,top_genres
2010_2019,18,805,1035,"Drama, Thriller, Comedy"
2010_2019,33,774,1090,"Drama, Comedy, Thriller"
2010_2019,31,493,385,"Drama, Comedy, Action"
2010_2019,48,285,465,"Drama, Comedy, Thriller"
2010_2019,30,499,682,"Drama, Comedy, Thriller"
2010_2019,20,524,980,"Comedy, Drama, Thriller"
2010_2019,22,348,386,"Drama, Comedy, Thriller"
2010_2019,40,351,415,"Drama, Thriller, Action"
2010_2019,17,735,926,"Drama, Comedy, Thriller"
2010_2019,10,613,1098,"Comedy, Drama, Action"
2010_2019,27,675,797,"Drama, Action, Thriller"
2010_2019,28,524,698,"Drama, Comedy, Thriller"
2010_2019,29,232,290,"Drama, Thriller, Action"
2010_2019,44,170,274,"Drama, Comedy, Thriller"
2010_2019,32,726,1281,"Comedy, Drama, Thriller"
2010_2019,16,438,683,"Comedy, Drama, Thriller"
2010_2019,35,430,605,"Drama, Comedy, Action"
2010_2019,36,130,53,"Comedy, Drama, Family"
2010_2019,37,172,106,"Drama, Comedy, Thriller"
2010_2019,23,298,427,"Drama, Thriller, Action"
2010_2019,39,181,333,"Comedy, Drama, Action"
2010_2019,42,278,321,"Drama, Comedy, Thriller"
2010_2019,9,97,80,"Drama, Thriller, Adventure"
2010_2019,19,475,536,"Drama, Action, Thriller"
2010_2019,25,403,628,"Drama, Comedy, Thriller"
2010_2019,21,250,172,"Drama, Action, Thriller"
2010_2019,47,290,271,"Drama, Action, Thriller"
2010_2019,49,320,303,"Comedy, Drama, Romance"
2010_2019,1,517,662,"Comedy, Drama, Action"
2010_2019,8,99,17,"Drama, Action, Crime"
2010_2019,15,119,164,"Comedy, Drama, Action"
2010_2019,24,124,70,"Action, Drama, Comedy"
2010_2019,46,165,121,"Drama, Comedy, Thriller"
2010_2019,41,186,84,"Drama, Thriller, Romance"
2010_2019,26,51,20,"Comedy, Action, Drama"
2010_2019,34,64,16,"Drama, Romance, Comedy"
2010_2019,38,52,24,"Drama, Comedy, Action"
2010_2019,43,23,11,"Drama, Thriller, Mystery"
2010_2019,45,20,4,"Science Fiction, Action, Horror"
