period,movie_id,title,release_year,nb_cast_total,nb_cast_in_graph,nb_communities_in_movie,dominant_community,dominant_community_count,dominant_community_share,is_coherent_with_community,communities_distribution
2000_2009,22803,Law Abiding Citizen,2009.0,20,20,12,5,6,0.3,False,"{5: 6, 11: 1, 20: 1, 28: 1, 1: 1, 42: 1, 24: 1, 41: 2, 16: 2, 21: 2, 7: 1, 46: 1}"
2000_2009,285923,Grindhouse,2007.0,32,32,18,13,8,0.25,False,"{31: 1, 20: 1, 2: 1, 7: 2, 13: 8, 42: 1, 40: 3, 18: 2, 16: 3, 25: 1, 21: 1, 41: 2, 46: 1, 3: 1, 38: 1, 28: 1, 29: 1, 1: 1}"
2000_2009,1950,Lucky You,2007.0,8,8,6,1,2,0.25,False,"{1: 2, 7: 2, 36: 1, 42: 1, 41: 1, 38: 1}"
2000_2009,640,Catch Me If You Can,2002.0,123,123,3,26,120,0.976,True,"{26: 120, 14: 1, 7: 2}"
2000_2009,9767,The Break-Up,2006.0,16,16,7,36,7,0.438,False,"{43: 2, 36: 7, 41: 2, 31: 2, 1: 1, 20: 1, 5: 1}"
2000_2009,11631,Mamma Mia!,2008.0,26,26,3,20,24,0.923,True,"{7: 1, 20: 24, 28: 1}"
2000_2009,6519,The Dukes of Hazzard,2005.0,22,22,8,41,14,0.636,True,"{19: 1, 33: 2, 41: 14, 42: 1, 8: 1, 31: 1, 46: 1, 38: 1}"
2000_2009,11817,Bulletproof Monk,2003.0,15,15,7,38,8,0.533,False,"{33: 1, 38: 8, 3: 1, 20: 2, 28: 1, 10: 1, 11: 1}"
2000_2009,2123,"Me, Myself & Irene",2000.0,16,16,8,32,9,0.562,False,"{16: 1, 28: 1, 21: 1, 5: 1, 36: 1, 32: 9, 24: 1, 43: 1}"
2000_2009,9907,Barnyard,2006.0,20,20,6,40,11,0.55,False,"{8: 2, 13: 1, 23: 1, 36: 3, 41: 2, 40: 11}"
2000_2009,9969,Deck the Halls,2006.0,21,21,7,23,15,0.714,True,"{33: 1, 38: 1, 23: 15, 10: 1, 41: 1, 5: 1, 43: 1}"
2000_2009,18239,The Twilight Saga: New Moon,2009.0,37,37,5,23,33,0.892,True,"{23: 33, 20: 1, 10: 1, 36: 1, 35: 1}"
2000_2009,808,Shrek,2001.0,29,29,8,41,19,0.655,True,"{33: 1, 41: 19, 40: 4, 36: 1, 8: 1, 21: 1, 20: 1, 11: 1}"
2000_2009,2022,Mr. Deeds,2002.0,13,13,7,8,7,0.538,False,"{8: 7, 1: 1, 16: 1, 30: 1, 28: 1, 40: 1, 19: 1}"
2000_2009,462,Erin Brockovich,2000.0,10,10,7,36,4,0.4,False,"{36: 4, 20: 1, 10: 1, 7: 1, 19: 1, 43: 1, 18: 1}"
2000_2009,9919,How to Lose a Guy in 10 Days,2003.0,22,22,10,37,9,0.409,False,"{10: 1, 43: 2, 46: 2, 16: 1, 41: 2, 5: 1, 23: 2, 37: 9, 3: 1, 28: 1}"
2000_2009,10201,Yes Man,2008.0,20,20,11,38,7,0.35,False,"{16: 1, 36: 2, 20: 2, 38: 7, 46: 1, 43: 2, 31: 1, 19: 1, 33: 1, 41: 1, 8: 1}"
2000_2009,388,Inside Man,2006.0,64,64,6,21,57,0.891,True,"{21: 57, 20: 1, 9: 1, 7: 3, 30: 1, 19: 1}"
2000_2009,13811,Knowing,2009.0,17,17,3,6,15,0.882,True,"{16: 1, 10: 1, 6: 15}"
2000_2009,6877,Failure to Launch,2006.0,12,12,7,43,5,0.417,False,"{43: 5, 7: 1, 36: 2, 6: 1, 8: 1, 41: 1, 23: 1}"
2000_2009,10320,The Ring Two,2005.0,17,17,8,41,10,0.588,False,"{5: 1, 28: 1, 11: 1, 41: 10, 23: 1, 46: 1, 16: 1, 38: 1}"
2000_2009,8920,Garfield,2004.0,14,14,5,43,8,0.571,False,"{41: 2, 43: 8, 23: 2, 7: 1, 5: 1}"
2000_2009,13673,Christmas with the Kranks,2004.0,17,17,7,41,6,0.353,False,"{40: 3, 23: 2, 38: 1, 33: 2, 41: 6, 16: 2, 5: 1}"
2000_2009,13836,Race to Witch Mountain,2009.0,45,45,7,43,38,0.844,True,"{43: 38, 21: 1, 23: 1, 12: 1, 1: 2, 40: 1, 33: 1}"
2000_2009,752,V for Vendetta,2006.0,77,77,4,20,72,0.935,True,"{43: 1, 6: 1, 20: 72, 10: 3}"
2000_2009,6038,Shanghai Knights,2003.0,47,47,7,44,41,0.872,True,"{44: 41, 43: 1, 16: 1, 20: 1, 10: 1, 40: 1, 15: 1}"
2000_2009,9975,Curious George,2006.0,23,23,6,40,12,0.522,False,"{43: 2, 7: 1, 41: 4, 33: 3, 40: 12, 31: 1}"
2000_2009,11451,Herbie Fully Loaded,2005.0,16,16,8,41,7,0.438,False,"{28: 1, 40: 1, 31: 2, 41: 7, 32: 2, 33: 1, 36: 1, 43: 1}"
2000_2009,12103,Don't Say a Word,2001.0,16,16,7,23,6,0.375,False,"{36: 1, 11: 3, 38: 2, 31: 1, 28: 2, 8: 1, 23: 6}"
2000_2009,2251,Unfaithful,2002.0,12,12,6,4,5,0.417,False,"{36: 2, 5: 1, 4: 5, 41: 2, 42: 1, 24: 1}"
2000_2009,231,Syriana,2005.0,31,31,12,45,14,0.452,False,"{36: 2, 20: 3, 24: 1, 23: 1, 11: 2, 21: 1, 29: 1, 45: 14, 38: 1, 30: 1, 10: 3, 7: 1}"
2000_2009,9754,Firewall,2006.0,19,19,10,23,9,0.474,False,"{40: 1, 1: 2, 42: 1, 32: 1, 46: 1, 13: 1, 5: 1, 36: 1, 23: 9, 38: 1}"
2000_2009,588,Silent Hill,2006.0,16,16,5,23,12,0.75,True,"{32: 1, 11: 1, 16: 1, 23: 12, 38: 1}"
2000_2009,10393,The Replacements,2000.0,15,15,10,6,5,0.333,False,"{6: 5, 36: 1, 20: 2, 33: 1, 1: 1, 38: 1, 13: 1, 46: 1, 5: 1, 31: 1}"
2000_2009,1577,Resident Evil: Apocalypse,2004.0,87,87,4,28,83,0.954,True,"{43: 1, 28: 83, 3: 2, 14: 1}"
2000_2009,9801,Bridget Jones: The Edge of Reason,2004.0,43,43,5,20,39,0.907,True,"{28: 1, 7: 1, 20: 39, 6: 1, 8: 1}"
2000_2009,2116,Out of Time,2003.0,12,12,9,7,3,0.25,False,"{21: 1, 7: 3, 16: 2, 33: 1, 41: 1, 40: 1, 5: 1, 43: 1, 38: 1}"
2000_2009,14199,The Adventures of Sharkboy and Lavagirl,2005.0,8,8,4,23,4,0.5,False,"{23: 4, 40: 2, 11: 1, 42: 1}"
2000_2009,1907,The Beach,2000.0,16,16,7,20,10,0.625,True,"{26: 1, 25: 1, 36: 1, 20: 10, 10: 1, 40: 1, 24: 1}"
2000_2009,4599,Raising Helen,2004.0,28,28,11,5,16,0.571,False,"{10: 1, 43: 3, 15: 1, 13: 1, 46: 1, 5: 16, 20: 1, 33: 1, 23: 1, 40: 1, 8: 1}"
2000_2009,22832,Ninja Assassin,2009.0,38,38,4,20,35,0.921,True,"{20: 35, 38: 1, 6: 1, 25: 1}"
2000_2009,11892,Murder by Numbers,2002.0,26,26,8,4,18,0.692,True,"{30: 1, 4: 18, 13: 1, 43: 1, 20: 1, 36: 2, 41: 1, 38: 1}"
2000_2009,1248,Hannibal Rising,2007.0,17,17,4,10,12,0.706,True,"{9: 1, 10: 12, 11: 1, 20: 3}"
2000_2009,10782,Basic,2003.0,17,17,9,36,7,0.412,False,"{14: 2, 6: 2, 34: 1, 36: 7, 38: 1, 28: 1, 16: 1, 11: 1, 26: 1}"
2000_2009,9573,Blood Work,2002.0,18,18,12,40,6,0.333,False,"{46: 1, 36: 2, 41: 1, 23: 1, 40: 6, 33: 1, 13: 1, 7: 1, 44: 1, 43: 1, 38: 1, 30: 1}"
2000_2009,4959,The International,2009.0,36,36,5,37,31,0.861,True,"{20: 2, 5: 1, 37: 31, 31: 1, 45: 1}"
2000_2009,421,The Life Aquatic with Steve Zissou,2004.0,16,16,11,41,6,0.375,False,"{41: 6, 11: 1, 7: 1, 43: 1, 28: 1, 20: 1, 36: 1, 16: 1, 39: 1, 32: 1, 21: 1}"
2000_2009,11615,The Life of David Gale,2003.0,125,125,1,12,125,1.0,True,{12: 125}
2000_2009,13498,Man of the House,2005.0,21,21,10,43,9,0.429,False,"{42: 1, 43: 9, 41: 2, 23: 2, 7: 1, 11: 1, 38: 1, 16: 2, 33: 1, 36: 1}"
2000_2009,2252,Eastern Promises,2007.0,19,19,8,20,11,0.579,False,"{5: 1, 11: 1, 36: 1, 37: 1, 20: 11, 28: 2, 10: 1, 2: 1}"
2000_2009,11968,Into the Blue,2005.0,9,9,9,31,1,0.111,False,"{31: 1, 38: 1, 36: 1, 16: 1, 21: 1, 41: 1, 12: 1, 3: 1, 43: 1}"
2000_2009,9923,Domino,2005.0,26,26,15,16,9,0.346,False,"{20: 3, 19: 1, 24: 1, 23: 1, 41: 2, 16: 9, 7: 1, 36: 1, 38: 1, 46: 1, 18: 1, 33: 1, 14: 1, 1: 1, 39: 1}"
2000_2009,18501,Gamer,2009.0,29,29,13,31,16,0.552,False,"{11: 1, 23: 1, 0: 1, 5: 1, 43: 1, 16: 2, 31: 16, 13: 1, 6: 1, 42: 1, 20: 1, 46: 1, 12: 1}"
2000_2009,9275,Death to Smoochy,2002.0,10,10,8,36,3,0.3,False,"{7: 1, 41: 1, 11: 1, 33: 1, 36: 3, 20: 1, 23: 1, 43: 1}"
2000_2009,12634,The Big Bounce,2004.0,15,15,10,43,6,0.4,False,"{43: 6, 10: 1, 23: 1, 32: 1, 42: 1, 36: 1, 37: 1, 40: 1, 41: 1, 8: 1}"
2000_2009,10416,What Planet Are You From?,2000.0,12,12,9,43,3,0.25,False,"{43: 3, 6: 1, 40: 1, 13: 1, 20: 1, 0: 1, 36: 2, 33: 1, 7: 1}"
2000_2009,15268,Street Fighter: The Legend of Chun-Li,2009.0,7,7,5,36,2,0.286,False,"{36: 2, 3: 1, 23: 1, 38: 2, 44: 1}"
2000_2009,10796,The One,2001.0,19,19,8,23,11,0.579,False,"{44: 1, 31: 1, 21: 1, 23: 11, 26: 1, 12: 1, 38: 2, 40: 1}"
2000_2009,18947,The Boat That Rocked,2009.0,30,30,3,20,28,0.933,True,"{20: 28, 36: 1, 11: 1}"
2000_2009,1900,Traffic,2000.0,29,29,12,38,12,0.414,False,"{36: 2, 38: 12, 15: 1, 43: 3, 42: 1, 23: 1, 3: 1, 1: 2, 33: 1, 7: 3, 40: 1, 20: 1}"
2000_2009,4547,Panic Room,2002.0,16,16,6,23,11,0.688,True,"{9: 1, 23: 11, 16: 1, 31: 1, 2: 1, 6: 1}"
2000_2009,53953,The Tooth Fairy,2006.0,15,15,3,23,13,0.867,True,"{23: 13, 40: 1, 13: 1}"
2000_2009,9896,Rat Race,2001.0,20,20,11,36,5,0.25,False,"{21: 1, 33: 2, 40: 2, 41: 3, 43: 1, 20: 2, 23: 1, 36: 5, 8: 1, 13: 1, 16: 1}"
2000_2009,167,K-PAX,2001.0,30,30,14,19,13,0.433,False,"{1: 1, 12: 1, 8: 2, 23: 2, 19: 13, 38: 1, 36: 1, 30: 1, 41: 1, 26: 1, 5: 2, 13: 2, 33: 1, 16: 1}"
2000_2009,11232,Kate & Leopold,2001.0,16,16,8,16,6,0.375,False,"{41: 2, 6: 2, 33: 1, 23: 1, 16: 6, 20: 1, 36: 2, 7: 1}"
2000_2009,1636,Bedazzled,2000.0,11,11,7,43,3,0.273,False,"{43: 3, 40: 1, 11: 1, 20: 1, 41: 3, 3: 1, 4: 1}"
2000_2009,5176,3:10 to Yuma,2007.0,44,44,12,42,32,0.727,True,"{21: 1, 10: 1, 0: 1, 13: 1, 3: 1, 42: 32, 34: 1, 41: 2, 7: 1, 6: 1, 12: 1, 29: 1}"
2000_2009,11091,Riding in Cars with Boys,2001.0,17,17,12,41,6,0.353,False,"{7: 1, 41: 6, 16: 1, 38: 1, 0: 1, 43: 1, 10: 1, 13: 1, 15: 1, 23: 1, 18: 1, 11: 1}"
2000_2009,5393,Happily N'Ever After,2006.0,17,17,6,40,9,0.529,False,"{40: 9, 43: 1, 33: 2, 34: 1, 41: 3, 21: 1}"
2000_2009,11467,America's Sweethearts,2001.0,38,38,12,36,25,0.658,True,"{36: 25, 40: 1, 15: 1, 23: 2, 43: 2, 14: 1, 33: 1, 0: 1, 46: 1, 38: 1, 8: 1, 41: 1}"
2000_2009,320,Insomnia,2002.0,25,25,6,23,19,0.76,True,"{36: 1, 7: 1, 23: 19, 10: 2, 14: 1, 28: 1}"
2000_2009,4256,Scary Movie 3,2003.0,17,17,6,40,8,0.471,False,"{41: 4, 40: 8, 43: 2, 23: 1, 14: 1, 21: 1}"
2000_2009,1493,Miss Congeniality,2000.0,17,17,9,41,8,0.471,False,"{30: 1, 23: 1, 10: 1, 41: 8, 35: 1, 3: 1, 7: 1, 12: 2, 38: 1}"
2000_2009,88751,Journey to the Center of the Earth,2008.0,10,10,4,11,7,0.7,True,"{40: 1, 34: 1, 11: 7, 43: 1}"
2000_2009,11130,The Princess Diaries 2: Royal Engagement,2004.0,20,20,6,5,14,0.7,True,"{5: 14, 11: 1, 1: 1, 23: 1, 41: 2, 43: 1}"
2000_2009,7350,The Bucket List,2007.0,22,22,6,43,16,0.727,True,"{21: 1, 10: 1, 41: 1, 31: 2, 43: 16, 4: 1}"
2000_2009,4379,Monster-in-Law,2005.0,18,18,8,41,7,0.389,False,"{42: 1, 41: 7, 36: 2, 33: 2, 46: 1, 26: 1, 23: 2, 43: 2}"
2000_2009,2034,Training Day,2001.0,14,14,8,42,6,0.429,False,"{21: 1, 46: 2, 24: 1, 42: 6, 38: 1, 43: 1, 7: 1, 36: 1}"
2000_2009,4248,Scary Movie 2,2001.0,15,15,8,41,5,0.333,False,"{41: 5, 19: 4, 42: 1, 40: 1, 36: 1, 43: 1, 38: 1, 20: 1}"
2000_2009,7214,Coach Carter,2005.0,10,10,9,43,2,0.2,False,"{6: 1, 12: 1, 43: 2, 42: 1, 14: 1, 35: 1, 33: 1, 7: 1, 13: 1}"
2000_2009,1537,Changing Lanes,2002.0,11,11,8,36,2,0.182,False,"{38: 1, 6: 1, 33: 1, 20: 1, 36: 2, 11: 2, 23: 1, 4: 2}"
2000_2009,6282,Coyote Ugly,2000.0,20,20,10,19,4,0.2,False,"{33: 1, 16: 1, 40: 1, 13: 2, 43: 1, 41: 3, 46: 1, 38: 3, 19: 4, 36: 3}"
2000_2009,508,Love Actually,2003.0,39,39,11,20,26,0.667,True,"{20: 26, 12: 1, 7: 1, 28: 1, 10: 2, 21: 1, 42: 1, 11: 1, 43: 1, 23: 3, 33: 1}"
2000_2009,768,From Hell,2001.0,26,26,4,20,23,0.885,True,"{20: 23, 43: 1, 11: 1, 44: 1}"
2000_2009,9981,Kicking & Screaming,2005.0,20,20,6,41,14,0.7,True,"{43: 2, 7: 1, 10: 1, 41: 14, 34: 1, 36: 1}"
2000_2009,7453,The Hitchhiker's Guide to the Galaxy,2005.0,20,20,5,20,15,0.75,True,"{20: 15, 36: 2, 16: 1, 46: 1, 41: 1}"
2000_2009,15045,Fat Albert,2004.0,13,13,5,36,7,0.538,False,"{23: 1, 36: 7, 16: 2, 6: 1, 41: 2}"
2000_2009,7737,Resident Evil: Extinction,2007.0,14,14,8,28,7,0.5,False,"{43: 1, 28: 7, 36: 1, 20: 1, 41: 1, 38: 1, 13: 1, 42: 1}"
2000_2009,17379,Last Holiday,2006.0,7,7,7,14,1,0.143,False,"{14: 1, 3: 1, 11: 1, 40: 1, 7: 1, 9: 1, 16: 1}"
2000_2009,9759,Cellular,2004.0,19,19,6,41,14,0.737,True,"{33: 1, 41: 14, 31: 1, 44: 1, 36: 1, 18: 1}"
2000_2009,9486,Johnny English,2003.0,17,17,3,20,15,0.882,True,"{20: 15, 46: 1, 23: 1}"
2000_2009,9906,The Ant Bully,2006.0,20,20,8,40,11,0.55,False,"{36: 1, 7: 2, 16: 1, 28: 1, 33: 2, 46: 1, 23: 1, 40: 11}"
2000_2009,4688,Across the Universe,2007.0,27,27,9,21,18,0.667,True,"{19: 1, 20: 1, 2: 1, 21: 18, 14: 2, 30: 1, 40: 1, 6: 1, 10: 1}"
2000_2009,4148,Revolutionary Road,2008.0,19,19,12,42,6,0.316,False,"{26: 1, 12: 1, 38: 1, 43: 1, 20: 3, 36: 1, 42: 6, 7: 1, 11: 1, 23: 1, 30: 1, 40: 1}"
2000_2009,2207,16 Blocks,2006.0,21,21,9,14,13,0.619,True,"{46: 1, 16: 1, 41: 1, 14: 13, 4: 1, 11: 1, 3: 1, 7: 1, 30: 1}"
2000_2009,9381,Babylon A.D.,2008.0,19,19,8,44,11,0.579,False,"{14: 1, 44: 11, 6: 1, 20: 1, 9: 2, 10: 1, 3: 1, 24: 1}"
2000_2009,20856,Aliens in the Attic,2009.0,18,18,5,41,11,0.611,True,"{41: 11, 8: 2, 43: 2, 4: 1, 7: 2}"
2000_2009,5955,The Pledge,2001.0,16,16,12,41,3,0.188,False,"{21: 1, 10: 1, 20: 2, 46: 2, 36: 1, 38: 1, 19: 1, 43: 1, 41: 3, 28: 1, 23: 1, 42: 1}"
2000_2009,9899,The Producers,2005.0,21,21,10,41,12,0.571,False,"{38: 1, 18: 1, 43: 1, 20: 1, 41: 12, 40: 1, 8: 1, 30: 1, 33: 1, 21: 1}"
2000_2009,21355,All the Pretty Horses,2000.0,8,8,6,36,2,0.25,False,"{36: 2, 4: 1, 39: 1, 13: 1, 38: 1, 41: 2}"
2000_2009,12412,Miracle at St. Anna,2008.0,25,25,14,25,11,0.44,False,"{41: 2, 31: 1, 34: 1, 8: 1, 25: 11, 12: 1, 6: 1, 10: 1, 5: 1, 36: 1, 37: 1, 24: 1, 21: 1, 11: 1}"
2000_2009,1494,Curse of the Golden Flower,2006.0,8,8,3,22,6,0.75,True,"{20: 1, 10: 1, 22: 6}"
2000_2009,13184,Bangkok Dangerous,2008.0,10,10,1,16,10,1.0,True,{16: 10}
2000_2009,2185,Big Trouble,2002.0,33,33,12,40,17,0.515,False,"{40: 17, 34: 1, 36: 2, 23: 2, 38: 1, 19: 1, 41: 4, 33: 1, 14: 1, 7: 1, 43: 1, 5: 1}"
2000_2009,6639,Love in the Time of Cholera,2007.0,14,14,6,39,7,0.5,False,"{39: 7, 23: 1, 9: 1, 5: 2, 6: 2, 20: 1}"
2000_2009,834,Underworld: Evolution,2006.0,17,17,6,20,10,0.588,False,"{38: 2, 20: 10, 11: 1, 40: 1, 23: 2, 10: 1}"
2000_2009,711,Finding Forrester,2000.0,13,13,10,36,3,0.231,False,"{44: 1, 12: 1, 23: 2, 36: 3, 11: 1, 4: 1, 30: 1, 42: 1, 37: 1, 41: 1}"
2000_2009,10468,28 Days,2000.0,27,27,11,11,14,0.519,False,"{30: 1, 11: 14, 41: 2, 40: 1, 39: 1, 12: 1, 13: 3, 46: 1, 36: 1, 14: 1, 33: 1}"
2000_2009,10027,Unleashed,2005.0,23,23,7,10,15,0.652,True,"{44: 2, 10: 15, 29: 1, 11: 1, 20: 2, 3: 1, 6: 1}"
2000_2009,11812,The Sweetest Thing,2002.0,11,11,5,41,6,0.545,False,"{41: 6, 16: 1, 23: 2, 43: 1, 13: 1}"
2000_2009,7443,Chicken Run,2000.0,14,14,2,20,13,0.929,True,"{0: 1, 20: 13}"
2000_2009,5966,Along Came Polly,2004.0,26,26,10,43,10,0.385,False,"{43: 10, 36: 4, 38: 1, 6: 1, 33: 2, 13: 1, 41: 3, 31: 2, 32: 1, 20: 1}"
2000_2009,11560,High Crimes,2002.0,36,36,9,38,27,0.75,True,"{12: 1, 10: 1, 38: 27, 23: 1, 33: 2, 16: 1, 7: 1, 46: 1, 5: 1}"
2000_2009,2637,The Mothman Prophecies,2002.0,33,33,5,36,29,0.879,True,"{36: 29, 12: 1, 13: 1, 31: 1, 10: 1}"
2000_2009,18480,Brüno,2009.0,11,11,4,41,7,0.636,True,"{41: 7, 20: 2, 21: 1, 40: 1}"
2000_2009,2749,15 Minutes,2001.0,86,86,6,3,81,0.942,True,"{3: 81, 1: 1, 7: 1, 10: 1, 8: 1, 21: 1}"
2000_2009,1830,Lord of War,2005.0,20,20,6,46,15,0.75,True,"{16: 1, 46: 15, 2: 1, 11: 1, 37: 1, 29: 1}"
2000_2009,79,Hero,2002.0,27,27,3,44,25,0.926,True,"{44: 25, 0: 1, 41: 1}"
2000_2009,27936,Micmacs,2009.0,12,12,1,9,12,1.0,True,{9: 12}
2000_2009,65,8 Mile,2002.0,19,19,5,38,13,0.684,True,"{41: 2, 38: 13, 36: 2, 46: 1, 16: 1}"
2000_2009,9476,A Knight's Tale,2001.0,16,16,7,20,10,0.625,True,"{10: 1, 9: 1, 13: 1, 1: 1, 20: 10, 41: 1, 28: 1}"
2000_2009,10610,The Medallion,2003.0,23,23,6,10,16,0.696,True,"{44: 3, 10: 16, 33: 1, 36: 1, 11: 1, 6: 1}"
2000_2009,18240,The Proposal,2009.0,71,71,4,30,68,0.958,True,"{30: 68, 46: 1, 14: 1, 8: 1}"
2000_2009,12279,Spy Kids 3-D: Game Over,2003.0,33,33,5,40,29,0.879,True,"{40: 29, 21: 1, 36: 1, 11: 1, 16: 1}"
2000_2009,11007,Cheaper by the Dozen,2003.0,17,17,5,33,12,0.706,True,"{33: 12, 40: 1, 4: 1, 14: 2, 23: 1}"
2000_2009,10184,He's Just Not That Into You,2009.0,41,41,13,38,25,0.61,True,"{38: 25, 36: 1, 7: 1, 16: 1, 31: 1, 43: 1, 13: 1, 20: 1, 41: 4, 44: 1, 26: 2, 23: 1, 0: 1}"
2000_2009,4257,Scary Movie 4,2006.0,20,20,7,41,9,0.45,False,"{41: 9, 8: 1, 23: 5, 21: 1, 43: 2, 18: 1, 40: 1}"
2000_2009,4234,Scream 3,2000.0,23,23,11,40,5,0.217,False,"{40: 5, 33: 5, 8: 1, 36: 4, 44: 1, 46: 1, 41: 2, 6: 1, 16: 1, 5: 1, 35: 1}"
2000_2009,24803,Julie & Julia,2009.0,15,15,8,7,7,0.467,False,"{7: 7, 26: 1, 23: 1, 36: 1, 12: 1, 16: 1, 46: 1, 41: 2}"
2000_2009,9036,Eight Below,2006.0,7,7,7,31,1,0.143,False,"{31: 1, 1: 1, 36: 1, 33: 1, 23: 1, 20: 1, 11: 1}"
2000_2009,1677,Ray,2004.0,24,24,14,36,5,0.208,False,"{5: 2, 10: 1, 33: 2, 6: 1, 43: 1, 23: 2, 36: 5, 31: 1, 1: 1, 41: 2, 16: 3, 40: 1, 38: 1, 20: 1}"
2000_2009,187,Sin City,2005.0,52,52,12,38,38,0.731,True,"{38: 38, 20: 1, 2: 1, 19: 1, 46: 1, 23: 1, 21: 1, 10: 2, 18: 1, 11: 1, 12: 3, 41: 1}"
2000_2009,7461,Vantage Point,2008.0,29,29,11,24,19,0.655,True,"{43: 1, 24: 19, 16: 1, 34: 1, 11: 1, 37: 1, 1: 1, 4: 1, 28: 1, 38: 1, 5: 1}"
2000_2009,16538,"I Love You, Man",2009.0,46,46,8,41,37,0.804,True,"{41: 37, 7: 1, 1: 1, 33: 2, 11: 1, 40: 1, 43: 2, 38: 1}"
2000_2009,9889,Shallow Hal,2001.0,19,19,9,32,10,0.526,False,"{33: 1, 15: 1, 30: 1, 32: 10, 28: 1, 5: 1, 41: 2, 46: 1, 8: 1}"
2000_2009,11565,Big Momma's House 2,2006.0,8,8,2,41,6,0.75,True,"{41: 6, 23: 2}"
2000_2009,6073,The Mexican,2001.0,14,14,6,36,8,0.571,False,"{36: 8, 7: 1, 41: 2, 16: 1, 24: 1, 38: 1}"
2000_2009,16996,17 Again,2009.0,49,49,5,41,45,0.918,True,"{14: 1, 41: 45, 46: 1, 8: 1, 0: 1}"
2000_2009,19912,The Final Destination,2009.0,13,13,3,16,10,0.769,True,"{16: 10, 23: 2, 7: 1}"
2000_2009,8007,Behind Enemy Lines,2001.0,19,19,9,36,11,0.579,False,"{43: 1, 36: 11, 23: 1, 3: 1, 46: 1, 10: 1, 41: 1, 5: 1, 20: 1}"
2000_2009,4380,Shall We Dance?,2004.0,18,18,8,36,10,0.556,False,"{36: 10, 42: 2, 41: 1, 23: 1, 30: 1, 4: 1, 13: 1, 14: 1}"
2000_2009,11362,The Count of Monte Cristo,2002.0,10,10,6,38,3,0.3,False,"{38: 3, 8: 1, 20: 3, 12: 1, 40: 1, 41: 1}"
2000_2009,1124,The Prestige,2006.0,41,41,10,33,30,0.732,True,"{6: 1, 10: 2, 20: 1, 11: 1, 33: 30, 43: 2, 38: 1, 7: 1, 46: 1, 1: 1}"
2000_2009,1579,Apocalypto,2006.0,39,39,1,39,39,1.0,True,{39: 39}
2000_2009,1586,Secret Window,2004.0,14,14,4,11,10,0.714,True,"{20: 2, 8: 1, 11: 10, 10: 1}"
2000_2009,2044,The Lake House,2006.0,20,20,8,6,13,0.65,True,"{6: 13, 30: 1, 45: 1, 21: 1, 37: 1, 13: 1, 10: 1, 5: 1}"
2000_2009,9913,The Skeleton Key,2005.0,20,20,8,16,12,0.6,True,"{10: 1, 9: 1, 46: 1, 20: 2, 7: 1, 16: 12, 38: 1, 33: 1}"
2000_2009,10761,Made of Honor,2008.0,22,22,6,36,17,0.773,True,"{36: 17, 24: 1, 20: 1, 38: 1, 32: 1, 43: 1}"
2000_2009,4970,Gothika,2003.0,11,11,7,11,5,0.455,False,"{23: 1, 1: 1, 11: 5, 39: 1, 46: 1, 29: 1, 28: 1}"
2000_2009,440,Aliens vs Predator: Requiem,2007.0,40,40,5,23,36,0.9,True,"{23: 36, 21: 1, 40: 1, 43: 1, 38: 1}"
2000_2009,10641,Autumn in New York,2000.0,11,11,9,41,2,0.182,False,"{36: 1, 1: 1, 6: 1, 41: 2, 3: 1, 13: 1, 28: 1, 7: 1, 23: 2}"
2000_2009,11172,Music and Lyrics,2007.0,73,73,9,7,61,0.836,True,"{7: 61, 14: 2, 30: 1, 33: 2, 15: 2, 21: 2, 19: 1, 12: 1, 1: 1}"
2000_2009,10385,Hanging Up,2000.0,23,23,4,41,20,0.87,True,"{41: 20, 4: 1, 36: 1, 8: 1}"
2000_2009,10647,Pay It Forward,2000.0,16,16,9,38,7,0.438,False,"{12: 1, 0: 1, 38: 7, 43: 1, 35: 1, 13: 1, 36: 2, 23: 1, 41: 1}"
2000_2009,11431,Fever Pitch,2005.0,30,30,6,32,23,0.767,True,"{7: 1, 36: 2, 32: 23, 41: 2, 21: 1, 46: 1}"
2000_2009,8457,Drillbit Taylor,2008.0,41,41,7,41,30,0.732,True,"{43: 5, 41: 30, 12: 1, 23: 2, 33: 1, 5: 1, 28: 1}"
2000_2009,10060,Get Rich or Die Tryin',2005.0,21,21,9,36,12,0.571,False,"{36: 12, 7: 2, 24: 1, 1: 1, 12: 1, 40: 1, 28: 1, 43: 1, 23: 1}"
2000_2009,11398,The Art of War,2000.0,7,7,6,43,2,0.286,False,"{44: 1, 41: 1, 28: 1, 43: 2, 16: 1, 38: 1}"
2000_2009,1833,Rent,2005.0,13,13,7,16,6,0.462,False,"{16: 6, 15: 1, 2: 1, 36: 1, 42: 1, 40: 2, 41: 1}"
2000_2009,10391,Bless the Child,2000.0,15,15,9,7,7,0.467,False,"{41: 1, 28: 1, 7: 7, 9: 1, 33: 1, 6: 1, 38: 1, 3: 1, 11: 1}"
2000_2009,11370,The Musketeer,2001.0,15,15,4,41,10,0.667,True,"{41: 10, 33: 1, 20: 3, 11: 1}"
2000_2009,12184,The Other Boleyn Girl,2008.0,28,28,3,20,26,0.929,True,"{43: 1, 20: 26, 1: 1}"
2000_2009,1921,Sweet November,2001.0,15,15,9,40,6,0.4,False,"{6: 1, 3: 1, 20: 1, 40: 6, 14: 1, 33: 2, 23: 1, 10: 1, 5: 1}"
