period,movie_id,title,release_year,nb_cast_total,nb_cast_in_graph,nb_communities_in_movie,dominant_community,dominant_community_count,dominant_community_share,is_coherent_with_community,communities_distribution
1990_1999,954,Mission: Impossible,1996.0,30,30,6,41,25,0.833,True,"{41: 25, 1: 1, 15: 1, 35: 1, 20: 1, 33: 1}"
1990_1999,364,Batman Returns,1992.0,11,11,6,1,4,0.364,False,"{41: 2, 39: 1, 1: 4, 3: 1, 6: 1, 13: 2}"
1990_1999,8656,Deep Impact,1998.0,26,26,13,8,11,0.423,False,"{14: 3, 33: 1, 41: 1, 32: 1, 8: 11, 3: 1, 5: 1, 39: 1, 40: 1, 1: 1, 22: 1, 24: 2, 16: 1}"
1990_1999,754,Face/Off,1997.0,22,22,10,14,11,0.5,False,"{41: 1, 14: 11, 26: 2, 1: 1, 25: 1, 3: 2, 5: 1, 8: 1, 33: 1, 13: 1}"
1990_1999,1701,Con Air,1997.0,44,44,11,14,31,0.705,True,"{14: 31, 10: 1, 41: 1, 3: 2, 23: 1, 20: 1, 18: 1, 12: 1, 31: 1, 9: 2, 13: 2}"
1990_1999,9574,Flubber,1997.0,16,16,7,7,7,0.438,False,"{8: 2, 33: 1, 31: 2, 20: 2, 7: 7, 4: 1, 24: 1}"
1990_1999,11618,The Haunting,1999.0,21,21,6,4,16,0.762,True,"{11: 1, 4: 16, 3: 1, 1: 1, 14: 1, 22: 1}"
1990_1999,2300,Space Jam,1996.0,28,28,4,40,25,0.893,True,"{40: 25, 20: 1, 39: 1, 13: 1}"
1990_1999,8834,Conspiracy Theory,1997.0,17,17,5,3,13,0.765,True,"{6: 1, 30: 1, 24: 1, 3: 13, 1: 1}"
1990_1999,6068,Six Days Seven Nights,1998.0,62,62,2,18,61,0.984,True,"{18: 61, 22: 1}"
1990_1999,2157,Lost in Space,1998.0,20,20,3,15,18,0.9,True,"{15: 18, 17: 1, 13: 1}"
1990_1999,161795,Déjà Vu,1998.0,11,11,1,41,11,1.0,True,{41: 11}
1990_1999,49948,Fantasia 2000,1999.0,12,12,4,33,9,0.75,True,"{27: 1, 30: 1, 33: 9, 14: 1}"
1990_1999,9822,Mighty Joe Young,1998.0,16,16,14,23,2,0.125,False,"{8: 1, 6: 1, 0: 1, 40: 1, 24: 1, 35: 1, 31: 1, 14: 1, 3: 1, 16: 1, 32: 1, 23: 2, 20: 2, 13: 1}"
1990_1999,12159,What Dreams May Come,1998.0,18,18,3,8,16,0.889,True,"{8: 16, 7: 1, 4: 1}"
1990_1999,75,Mars Attacks!,1996.0,22,22,14,6,5,0.227,False,"{39: 2, 33: 1, 7: 1, 6: 5, 1: 1, 13: 2, 37: 1, 31: 1, 30: 2, 17: 1, 24: 2, 11: 1, 36: 1, 14: 1}"
1990_1999,9433,The Edge,1997.0,6,6,5,3,2,0.333,False,"{24: 1, 4: 1, 3: 2, 40: 1, 19: 1}"
1990_1999,11228,Daylight,1996.0,18,18,13,27,6,0.333,False,"{24: 1, 1: 1, 27: 6, 31: 1, 20: 1, 39: 1, 5: 1, 6: 1, 40: 1, 14: 1, 3: 1, 26: 1, 11: 1}"
1990_1999,9922,The Postman,1997.0,25,25,9,23,13,0.52,False,"{20: 1, 3: 1, 4: 3, 23: 13, 1: 1, 35: 1, 10: 1, 6: 1, 14: 3}"
1990_1999,9447,Babe: Pig in the City,1998.0,21,21,6,33,16,0.762,True,"{3: 1, 33: 16, 6: 1, 16: 1, 13: 1, 32: 1}"
1990_1999,8587,The Lion King,1994.0,28,28,7,38,21,0.75,True,"{38: 21, 33: 2, 35: 1, 6: 1, 40: 1, 41: 1, 9: 1}"
1990_1999,602,Independence Day,1996.0,69,69,2,1,68,0.986,True,"{1: 68, 9: 1}"
1990_1999,330,The Lost World: Jurassic Park,1997.0,23,23,9,22,15,0.652,True,"{1: 1, 13: 1, 6: 1, 11: 1, 5: 1, 22: 15, 3: 1, 39: 1, 14: 1}"
1990_1999,9802,The Rock,1996.0,25,25,12,36,8,0.32,False,"{36: 8, 14: 4, 16: 1, 3: 4, 17: 1, 27: 1, 1: 1, 40: 1, 0: 1, 41: 1, 34: 1, 24: 1}"
