actor,degree
Sam Worthington,170
Zoe Saldana,415
Sigourney Weaver,294
Stephen Lang,204
Michelle Rodriguez,170
Giovanni Ribisi,295
Joel David Moore,154
CCH Pounder,105
Wes Studi,116
Laz Alonso,141
Dileep Rao,103
Matt Gerald,103
Sean Anthony Moran,82
Jason Whyte,82
Scott Lawrence,138
Kelly Kilgour,82
James Patrick Pitt,82
Sean Patrick Murphy,126
Peter Dillon,82
Kevin Dorman,109
Kelson Henderson,122
David Van Horn,82
Jacob Tomuri,122
Michael Blain-Rozgay,82
Jon Curry,82
Luke Hawker,82
Woody Schultz,125
Peter Mensah,316
Sonia Yee,82
Jahnel Curfman,82
Ilram Choi,82
Kyla Warren,82
Lisa Roumain,82
Debra Wilson,82
Chris Mala,82
Taylor Kibby,82
Jodie Landau,82
Julie Lamm,82
Cullen B. Madden,82
Joseph Brady Madden,82
Frankie Torres,82
Austin Wilson,82
Sara Wilson,82
Tamica Washington-Miller,82
Lucy Briant,82
Nathan Meister,82
Gerry Blair,82
Matthew Chamberlain,82
Paul Yates,82
Wray Wilson,82
James Gaylyn,134
Melvin Leno Clark III,82
Carvon Futrell,82
Brandon Jelkes,82
Micah Moch,82
Hanniyah Muhammad,82
Christopher Nolen,82
Christa Oliver,82
April Marie Thomas,82
Bravita A. Threatt,82
Colin Bleasdale,82
Mike Bodnar,82
Matt Clayton,82
Nicole Dionne,89
Jamie Harrison,82
Allan Henry,82
Anthony Ingruber,82
Ashley Jeffery,82
Dean Knowsley,82
Joseph Mika-Hunt,82
Terry Notary,82
Kai Pantano,82
Logan Pithyou,82
Stuart Pollock,82
Raja,82
Gareth Ruck,82
Rhian Sheehan,82
T. J. Storm,82
Jodie Taylor,82
Alicia Vela-Bailey,82
Richard Whiteside,82
Nikie Zambo,82
Julene Renee,117
Johnny Depp,337
Orlando Bloom,220
Keira Knightley,262
Stellan Skarsgård,217
Chow Yun-fat,80
Bill Nighy,377
Geoffrey Rush,248
Jack Davenport,145
Kevin McNally,243
Tom Hollander,223
Naomie Harris,220
Jonathan Pryce,266
Keith Richards,46
Lee Arenberg,94
Mackenzie Crook,160
Greg Ellis,297
David Bailie,130
Martin Klebba,261
David Schofield,144
Lauren Maher,94
Vanessa Branch,124
Angus Barnett,109
Giles New,85
Reggie Lee,331
Dominic Scott Kay,76
Takayo Fischer,108
David Meunier,99
Ho-Kwan Tse,68
Andy Beckwith,86
