actor,degree
Peter Donald Badalamenti II,98
Christopher S. Capp,94
Hakeem Kae-Kazim,142
Ghassan Massoud,55
Tobey Maguire,391
Kirsten Dunst,447
James Franco,522
Thomas Haden Church,449
Topher Grace,209
Bryce Dallas Howard,212
Rosemary Harris,268
James Cromwell,342
J.K. Simmons,676
Theresa Russell,177
Dylan Baker,426
Bill Nunn,266
Elizabeth Banks,546
Ted Raimi,326
Perla Haney-Jardine,196
Willem Dafoe,723
Cliff Robertson,251
Elya Baskin,245
Mageina Tovah,199
Michael Papajohn,303
Joe Manganiello,203
Stan Lee,472
Bruce Campbell,390
Christopher Young,142
Grant Curtis,142
Daniel Gillies,213
John Paxton,251
Becky Ann Baker,156
Steve Valentine,159
Hal Fishman,142
Lucy Gordon,188
Toni Wynne,208
Andre B. Blake,207
Tim Maculan,167
Marc Vann,142
Joe Bays,142
Gregg Daniel,191
Rogelio T. Ramos,142
Timothy Patrick Quill,251
Kathryn Bryding,142
Joe Virzi,142
Bill E. Rogers,216
Michael Alexander,142
April Parker-Jones,142
Edward Padilla,142
Robert Curtis Brown,409
Paul Terrell Clayton,142
Carolyn Neff,142
Christina Cindrich,230
Sonya Maddox,142
Derrick 'Phoenix' Thomas,142
Jessi Collins,142
Michael McLaughlin,142
Anne Gartlan,142
Emilio Rivera,292
Keith Woulard,142
Reynaldo Gallegos,142
Jim Coope,142
Dean Edwards,142
Margaret Laney,142
Aimee Miles,142
Tanya Bond,142
Mark Kubr,322
Tony Besson,142
Ramon Adams,142
A.J. Adelman,142
Angelis Alexandris,142
Dawn Marie Anderson,142
Frank Anello,142
Anya Avaeva,142
David Backus,159
Tiffany L. Baker,142
Marc C. Cancassi,208
Sujeilee Candele,142
Michael Ciesla,210
Irina Costa,142
John Crann,142
Crystal Marie Denha,227
Amy V. Dewhurst,196
Paul Edney,196
Natalie Fabry,142
Keith Fausnaught,142
Amanda Florian,248
Brianna Leann Florian,248
Tiffany Ashley Florian,248
Shaun Patrick Flynn,142
Logan Fry,142
Kevin Fung,142
Tony Galtieri,196
Chuck Gerena,142
Brian Hopson,281
Claude Jay,142
Julie Jei,142
Andrew James Jones,142
Natalie Jones,142
Christopher Jude,142
Brittany Krall,142
Alyssa Lakota,142
Tia Latrell,255
Linda Lee,208
Pierangeli Llinas,142
Bernadette Lords,604
Sandrine Marlier,142
Laura McDavid,142
Natalie McNeil,142
Daniel Mignault,142
Martha Millan,142
Michele-Nanette Miller,142
Claudia Katz Minnick,142
Robert Myers,281
Joseph O'Brien,142
Jen Oda,142
Anjelia Pelay,142
Nick Poltoranin,249
Vanessa Reseland,142
La Rivers,142
Bria Roberts,142
Luis Rosa,142
Vanessa Ross,142
Brenna Roth,142
Shade Rupe,142
Arick Salmea,142
Eric Shackelford,142
Daniel Shafer,142
Abbey Skinner,142
Kristin Somo,142
Jennifer Sparks,142
Christopher Stadulis,231
Jimmy Star,142
Arne Starr,322
Liam Stone,142
Tajna Tanovic,142
Aija Terauda,249
Brigid Turner,142
Evelyn Vaccaro,142
Nick Vlassopoulos,142
Sincerely A. Ward,181
Silq Webster,142
Graig F. Weich,142
Fredrick Weiss,142
Jennifer Weston,142
Trenton Willey,142
Ray Wineteer,249
Daniel Radcliffe,215
Rupert Grint,215
Emma Watson,219
Tom Felton,203
Michael Gambon,325
Jim Broadbent,567
Helena Bonham Carter,284
Robbie Coltrane,312
Maggie Smith,256
Alan Rickman,285
Timothy Spall,355
David Thewlis,248
Julie Walters,261
Matthew Lewis,203
Evanna Lynch,98
Bonnie Wright,203
Oliver Phelps,203
James Phelps,203
Mark Williams,278
Warwick Davis,262
Natalia Tena,145
Katie Leung,132
Dave Legeno,174
Geraldine Somerville,230
Helen McCrory,118
Freddie Stroma,48
David Bradley,330
Frank Dillane,48
Hero Fiennes-Tiffin,48
Gemma Jones,183
Afshan Azad,132
Shefali Chowdhury,132
Georgina Leonidas,48
Devon Murray,203
Anna Shaffer,48
Josh Herdman,203
Jamie Waylett,203
Scarlett Byrne,48
Jessie Cave,48
Louis Cordice,48
Alfie Enoch,203
Robert Knox,48
William Melling,159
Paul Ritter,115
Isabella Laughland,48
Ralph Ineson,94
Suzanne Toase,48
Rod Hunt,48
Elarica Gallacher,48
Brandon Routh,30
Kevin Spacey,366
Kate Bosworth,157
James Marsden,453
Parker Posey,136
Frank Langella,119
Sam Huntington,132
Eva Marie Saint,38
Marlon Brando,40
Kal Penn,129
Tristan Lake Leabu,17
David Fabrizio,31
Ian Roberts,256
Vincent Stone,17
Jack Larson,17
Noel Neill,17
Keegan Joyce,17
Jordana Beatty,17
Daniel Craig,322
Olga Kurylenko,103
Mathieu Amalric,80
Judi Dench,293
Giancarlo Giannini,121
Gemma Arterton,106
Jeffrey Wright,308
David Harbour,103
Jesper Christensen,186
Anatole Taubman,153
Rory Kinnear,31
Tim Pigott-Smith,281
Joaquín Cosio,31
Glenn Foster,31
Stana Katic,45
Lucrezia Lante della Rovere,31
Neil Jackson,80
Oona Chaplin,31
Rachel McDowall,56
Gustavo Nanez,31
Mark Wakeling,31
Sarah Hadland,31
David Decio,106
Aaron King,31
Alexandra Prusa,31
Brandon Jovanovich,31
Alexandre Krawetz,31
Fernando Guillén Cuervo,31
Jesús Ochoa,41
Simon Kassianides,50
Brendan O'Hea,31
Alex Norton,32
Dermot Keaney,32
Clive Ashborn,108
Christopher Adamson,41
Jonathan Linsley,32
John Boswall,32
Max Baker,127
Steve Speirs,77
Luke de Woolfson,87
Jonathan Kite,32
Ben Barnes,76
William Moseley,38
Anna Popplewell,58
Skandar Keynes,38
Georgie Henley,38
Sergio Castellitto,66
Alicia Borrachero,33
Peter Dinklage,100
Vincent Grass,20
Pierfrancesco Favino,110
Damián Alcázar,34
Simón Andreu,54
Predrag Bjelac,83
Shane Rangi,20
Cornell John,20
Liam Neeson,367
Ken Stott,36
Tilda Swinton,227
Eddie Izzard,133
Klára Issová,31
Dakota Blue Richards,28
Nicole Kidman,361
Sam Elliott,214
Eva Green,124
Freddie Highmore,256
Ian McKellen,218
Ben Walker,28
Ian McShane,245
Kristin Scott Thomas,123
Kathy Bates,321
Jim Carter,63
Tom Courtenay,71
Christopher Lee,197
Simon McBurney,113
Jack Shepherd,68
Magda Szubanski,59
Derek Jacobi,128
Clare Higgins,28
Charlie Rowe,57
Steven Loton,28
Michael Antoniou,28
Mark Mottram,73
Hattie Morahan,54
Jason Watkins,70
Sam Hoare,28
Brian Nickels,28
Thomas Arnold,60
Helen Soraya,72
Naomi Watts,252
Jack Black,454
Adrien Brody,238
Thomas Kretschmann,391
Colin Hanks,140
Andy Serkis,261
Evan Parke,54
Jamie Bell,159
Lobo Chan,32
John Sumner,73
Craig Hall,92
Kyle Chandler,67
William Johnson,32
David Pittu,32
Mark Hadlow,32
Geraldine Brophy,50
David Dennis,32
Pip Mushin,32
Jim Knobeloch,32
Ric Herbert,32
Lee Donahue,32
Tom Hobbs,32
Tiriel Mora,43
Jed Brophy,105
John Wraight,71
William Wallace,32
Frank Edwards,32
Crawford Thomson,32
Richard Kavanagh,32
Stephen Hall,32
Joe Folau,35
Chic Littlewood,71
Samuel Taylor,32
Alfred Molina,235
Donna Murphy,88
Scott Spiegel,145
Joel McHale,98
Hal Sparks,244
Donnell Rawlings,75
Emily Deschanel,165
Daniel Dae Kim,154
Aasif Mandvi,238
Joey Diaz,162
Vanessa Ferlito,153
Joy Bryant,184
John Landis,75
Phil LaMarr,116
Gregg Edelman,187
Brent Briscoe,249
Christine Estabrook,108
Joanne Baron,151
Peter McRobbie,155
Louis Lombardi,137
Marc John Jefferies,180
Reed Diamond,106
Brendan Patrick Connor,75
Dan Callahan,240
Susie Park,75
Brianna Brown,219
Tom Carey,75
Dan Hicks,75
Tony Campisi,75
Molly Cheek,185
Kelly Connell,75
Roshon Fegan,75
Taylor Gilbert,169
Timothy Jerome,75
Elyse Dinh,75
Anne Betancourt,89
Tricia Peters,75
Tim Storms,127
Bill Calvert,129
Peter Allas,75
Chloe Dykstra,75
Julia Max,75
Calvin Dean,242
Frank Bonsangue,75
Andre M. Johnson,75
Peter Cincotti,75
Peyton List,110
Spencer List,75
Troy Metcalf,75
Scott Ross,149
Bonnie Somerville,168
Wesley Volcy,75
Lou Volpe,75
David Boston,202
Garrett Warren,95
Michael Arthur,160
Cindy Cheung,89
Hugh Jackman,360
Halle Berry,237
Patrick Stewart,192
Famke Janssen,181
Anna Paquin,186
Kelsey Grammer,214
Shawn Ashmore,85
Aaron Stanford,129
Ellen Page,82
Rebecca Romijn,211
Vinnie Jones,222
Ben Foster,274
Daniel Cudmore,112
Dania Ramirez,73
Cameron Bright,212
Ken Leung,206
Eric Dane,92
Omahyra Mota,65
Meiling Melançon,52
Kea Wong,69
Shauna Kain,49
Michael Murphy,31
Shohreh Aghdashloo,189
Josef Sommer,164
Bill Duke,101
Haley Ramm,69
Cayden Boyd,135
Alex Ferris,63
Olivia Williams,103
Shia LaBeouf,247
Megan Fox,111
Josh Duhamel,69
Rainn Wilson,243
Tyrese Gibson,152
John Turturro,479
Kevin Dunn,112
Julie White,191
Ramón Rodríguez,117
Isabel Lucas,51
Glenn Morshower,390
Hugo Weaving,278
Marc Evan Jackson,36
Peter Cullen,68
Arnold Chun,36
Katie Lowes,36
Mark Ryan,99
Reno Wilson,123
Jess Harnell,210
Robert Foxworth,89
André Sogliuzzo,45
Grey Griffin,60
Tony Todd,101
Charlie Adler,59
Frank Welker,209
Tom Kenny,255
Calvin Wimmer,36
John Di Crosta,36
Michael York,159
Kevin Michael Richardson,137
Robin Atkin Downes,36
John Eric Bentley,77
America Olivo,122
Andrew Howard,36
Matthew Marsden,109
Deep Roy,330
Christian Bale,525
Anton Yelchin,338
Moon Bloodgood,39
Common,247
Roland Kickinger,14
Michael Ironside,51
Jane Alexander,40
Chris Browning,95
Chris Ashworth,14
Jadagrace,14
David Midthunder,14
Arnold Schwarzenegger,148
Harrison Ford,140
Cate Blanchett,424
Ray Winstone,253
Karen Allen,81
John Hurt,339
Andrew Divoff,84
Igor Jijikine,54
Pavel Lychnikoff,269
Alan Dale,121
"Ernie Reyes, Jr.",72
Dimitri Diatchenko,37
Ilia Volok,188
Emmanuel Todorov,37
Venya Manzyuk,37
Joel Stoffer,55
Neil Flynn,123
V.J. Foster,85
Chet Hanks,37
Brian Knutson,37
Dean Grimes,37
Sasha Spielberg,59
Nicole Luther,37
Sophia Stewart,37
Chris Todd,37
Dennis Nusbaum,37
T. Ryan Mooney,37
Audi Resendez,37
Helena Barrett,37
Carlos Linares,37
Gustavo Hernandez,78
Maria Luisa Minelli,37
Nito Larioza,37
Jon Valera,37
Kevin Collins,55
Robert Baker,68
Steven A. Miller,37
Ben Burtt,28
Elissa Knight,72
Jeff Garlin,185
Fred Willard,228
John Ratzenberger,183
Kathy Najimy,62
Teresa Ganzel,71
Laraine Newman,101
MacInTalk,28
Teddy Newton,82
Bob Bergen,126
John Cygan,81
Pete Docter,112
Paul Eiding,118
Donald Fullilove,53
Sherry Lynn,118
Mickie McGowan,127
Lori Alan,60
Colette Whitaker,28
Jan Rabson,101
Jeff Pidgeon,103
Lori Richardson,82
Andrew Stanton,127
Jim Ward,120
Kim Kopf,28
Angus MacLane,28
Garrett Palmer,28
Chris Tucker,31
Jackie Chan,205
Hiroyuki Sanada,132
Max von Sydow,61
Yvan Attal,63
Roman Polanski,17
Zhang Jingchu,17
Philip Baker Hall,182
Noémie Lenoir,51
Sarah Shahi,30
Youki Kudoh,37
Tzi Ma,102
Dana Ivey,127
Henry O,102
Mia Tyler,17
Michael Chow,17
Kentaro,32
Ann Christine,83
John Cusack,281
Amanda Peet,269
Chiwetel Ejiofor,428
Thandie Newton,285
Oliver Platt,247
Tom McCarthy,177
Woody Harrelson,239
Danny Glover,191
Liam James,121
Morgan Lily,91
Beatrice Rosen,193
Johann Urb,192
John Billingsley,223
Chin Han,183
Osric Chau,51
Lisa Lu,51
Chang Tseng,71
Blu Mankuma,51
George Segal,51
Stephen McHattie,233
Jimi Mistry,129
Ryan McDonald,88
Zlatko Burić,62
Philippe Haussmann,51
Alexandre Haussmann,51
Beverley Elliott,131
Patrick Bauchau,131
Tanya Champoux,68
Merrilyn Gann,51
Patrick Gilmore,51
Dean Marshall,51
Ron Selmour,95
Viv Leacock,105
Chris Boyd,51
Jason Diablo,65
Anna Mae Routledge,67
Jill Morrison,88
Chad Riley,51
Jason Anthony Griffith,51
Alex Zahara,51
Donna Yamamoto,51
Doron Bell,51
David Orth,51
Ty Olsson,155
Lyndall Grant,51
Agam Darshi,51
Raj Lal,51
Alexandra Castillo,62
John Mee,51
Candus Churchill,88
Luis Javier,51
Gary Oldman,427
Jim Carrey,171
Daryl Sabara,106
Sage Ryan,17
Amber Gainey Meade,17
Ryan Ochoa,17
Bobbi Page,17
Ron Bottitta,17
Sammi Hanratty,17
Julian Holloway,17
Colin Firth,284
Cary Elwes,73
Robin Wright,186
Bob Hoskins,243
Lesley Manville,94
Molly C. Quinn,55
Callum Blue,51
James McAvoy,135
Kiran Shah,23
James Cosmo,111
Judy McIntosh,41
Elizabeth Hawthorne,80
Patrick Kake,76
Rachael Henley,23
Mark Wells,52
Noah Huntley,44
Sophie Winkleman,23
Dawn French,80
Rupert Everett,176
Cameron Rhodes,23
Philip Steuer,23
Sim Evan-Jones,23
Michael Madsen,172
Heath Ledger,326
Aaron Eckhart,376
Michael Caine,637
Maggie Gyllenhaal,429
Morgan Freeman,587
Monique Gabriela Curnen,166
Ron Dean,133
Cillian Murphy,351
Nestor Carbonell,175
Eric Roberts,194
Ritchie Coster,353
Anthony Michael Hall,182
Keith Szarabajka,186
Colin McFarlane,240
Joshua Harto,251
Melinda McGraw,151
Nathan Gamble,271
Michael Vieau,179
Michael Stoyanov,133
William Smillie,133
Michael Jai White,167
Danny Goldring,138
Matthew O'Neill,181
William Fichtner,488
Olumiji Olawumi,133
Greg Beam,133
Erik Hellman,133
Vincenzo Nicoli,175
Edison Chen,174
Nydia Rodriguez Terracina,133
Andy Luther,133
James Farruggio,133
Tom McElroy,133
Will Zahrn,133
James Fierro,133
Patrick Leahy,133
Sam Derence,133
Jennifer Knox,133
Patrick Clear,133
Sarah Jayne Dunn,133
Charles Venn,133
Winston G. Ellis,133
David Dastmalchian,133
Sophia Hinshelwood,133
Keith Kupferer,201
Joseph Luis Caballero,133
Richard Dillane,154
Daryl Satcher,133
Chris Petschler,133
Aidan Feore,133
Philip Bulcock,182
Paul Birchard,170
Walter Lewis,170
Vincent Riotta,150
Nancy Crane,133
K. Todd Freeman,133
Matt Shallenberger,133
Michael Andrew Gorman,133
Lanny Lutz,133
Peter DeFaria,179
Matt Rippy,133
Andrew Bicknell,133
Ariyon Bakare,133
Doug Ballard,133
Helene Wilson,133
Tommy Campbell,133
Craig Heaney,133
Lorna Gayle,162
Lisa McAllister,133
Peter Brooke,211
Joshua Rollins,152
Dale Rivera,133
Matthew Leitch,133
Tom Lister Jr.,324
Thomas Gaitsch,133
William Armstrong,206
Adam Kalesperis,133
Tristan Tait,182
Bronson Webb,243
David Ajala,133
Gertrude Kyles,133
Jonathan Ryland,133
James Scales,133
Nigel Carrington,133
Ian Pirie,133
Lateef Lovejoy,133
Grahame Edwards,133
Roger Monk,133
Ronan Summers,133
Wai Wong,133
Michael Corey Foster,133
Hannah Gunn,133
Brandon Lambdin,133
Jon Lee Brody,133
Debbi Burns,133
Maritza Cabrera,133
Shirin Caiola,133
Laura Chernicky,133
Henry Milton Chu,133
Kelli Clevenger,133
Richard Divizio,133
Tony Domino,133
David Fultz,133
Natalie Hallam,178
Jordon Hodges,133
Erron Jay,133
Daniel Jefferson,182
Nicky Katt,365
Thomas Kosik,133
Don Kress,133
Tim Krueger,171
Dan Latham,133
Tom McComas,133
James Mellor,133
Joseph Oliveira,203
Buster Reeves,133
Peter Rnic,185
Amit Shah,133
Michelle Shields,133
Sofiya Smirnova,133
Bruce Spielbauer,133
Robert Patrick Stern,133
Robert Stone,201
Richard Strobel,133
Tom Townsend,133
John Turk,133
John Warman,358
Erik A. Williams,133
Chris Wilson,323
Kevin Zaideman,133
Ed Asner,50
Christopher Plummer,415
Jordan Nagai,15
Bob Peterson,117
Delroy Lindo,177
Jerome Ranft,15
David Kaye,15
Elie Docter,15
Jeremy Leary,15
Danny Mann,129
Josh Cooley,15
Seth Rogen,417
Reese Witherspoon,266
Hugh Laurie,115
Paul Rudd,346
Kiefer Sutherland,57
Will Arnett,255
Stephen Colbert,45
Jimmy Kimmel,27
Jeffrey Tambor,285
Amy Poehler,280
Ed Helms,226
Renée Zellweger,393
Sean Bishop,59
Rich Dietl,27
Rob Letterman,27
Tom McGrath,101
Chris Miller,135
Mike Mitchell,219
Kent Osborne,50
Latifa Ouaou,65
Geoffrey Pomeroy,27
David P. Smith,121
Lisa Stewart,27
Conrad Vernon,135
John Krasinski,234
Stephen Kearin,87
Robert Downey Jr.,481
Terrence Howard,403
Jeff Bridges,262
Shaun Toub,193
Gwyneth Paltrow,323
Faran Tahir,252
Paul Bettany,261
Leslie Bibb,184
Clark Gregg,318
Will Lyman,86
Jon Favreau,275
Samuel L. Jackson,668
Tom Morello,123
Jim Cramer,86
Sayed Badreya,303
Bill Smitrovich,120
Peter Billingsley,131
Tim Guinee,105
Marco Khan,349
Daston Kalili,86
Ido Ezra,264
Kevin Foster,126
Garret Noël,86
Eileen Weisinger,106
Ahmed Ahmed,264
Fahim Fazli,86
Gerard Sanders,86
Tim Rigby,86
Russell Richardson,86
Nazanin Boniadi,86
Thomas Craig Plumer,86
Robert Berkman,86
Stacy Stas,86
Lauren Scyphers,86
Frank Nyi,86
Marvin Jordan,86
Donna Evans,86
Reid Harper,142
Summer Kylie Remington,86
Ava Rose Williams,86
Vladimir Kubr,86
Callie Croughwell,86
Javan Tahir,86
Sahar Bibiyan,86
Patrick O'Connell,86
Adam Harrington,188
Meera Simhan,107
Ben Newmark,86
Ricki Lander,86
Jeannine Kaspar,158
Sarah Cahill,86
Justin Rex,86
Zorianna Kit,130
Lana Kinnear,86
Nicole Lindeblad,86
Masha Lund,86
Gabrielle Tuite,86
Tim Griffin,463
Micah A. Hauptman,86
James Bethea,86
Jeffrey Ashkin,86
Russell Bobbitt,86
Vianessa Castaños,86
Mike Cochrane,86
Mellany Gandara,86
Halla,86
Rodrick Hersh,156
Kristin J. Hooper,86
Chris Jalandoni,86
Steve Janousek,86
Laura Liguori,86
Flavia Manes Rossi,86
Anthony Martins,264
Robert McMurrer,134
James M. Myers,86
Sylvette Ortiz,86
Brett Padelford,86
Ajani Perkins,86
Chris Reid,86
Toi Rose,86
George F. Watson,159
David Zyler,86
Nick W. Nicholson,86
Brendan Fraser,334
Jet Li,165
John Hannah,74
Maria Bello,189
Luke Ford,14
Michelle Yeoh,74
Isabella Leong,14
Anthony Wong,61
Russell Wong,27
Liam Cunningham,72
David Calder,37
Jessey Meng,14
Tian Liang,14
Albert Kwan,14
Wu Jing,14
Steve Carell,206
Lauren Graham,185
John Goodman,299
Jimmy Bennett,355
John Michael Higgins,238
Wanda Sykes,144
Graham Phillips,17
Johnny Simmons,91
Jonah Hill,380
Dean Norris,91
James Newman,74
Molly Shannon,166
Lucia Forte,17
Harry S. Murphy,94
Don Dowe,25
Maile Flanagan,84
Dennis Quaid,257
Channing Tatum,342
Marlon Wayans,101
Sienna Miller,126
Joseph Gordon-Levitt,191
Saïd Taghmaoui,109
Christopher Eccleston,77
Adewale Akinnuoye-Agbaje,108
Lee Byung-hun,42
Rachel Nichols,278
Ray Park,44
Arnold Vosloo,79
Kevin J. O'Connor,45
Grégory Fitoussi,22
Leo Howard,50
Brandon Soo Hoo,95
Gerald Okamura,22
Karolina Kurkova,22
David Murray,158
Frederic Doss,59
Peter Breitmayer,112
Tom Hanks,356
Michael Jeter,45
Nona Gaye,203
Peter Scolari,9
Eddie Deezen,9
Leslie Zemeckis,37
Steven Tyler,67
Chris Coppola,79
Charles Fleischer,111
Nick Stahl,83
Claire Danes,120
Kristanna Loken,40
David Andrews,43
Mark Famiglietti,32
Earl Boen,31
Moira Harris,13
Chopper Bernet,27
Christopher Lawford,39
Alana Curry,13
Chris Hardwick,75
Robert Alonzo,13
Susan Merson,13
Paul Walker,200
Vin Diesel,301
Jordana Brewster,65
Rick Yune,86
Chad Lindberg,83
Johnny Strong,75
Ted Levine,295
Matt Schulze,214
Thom Barry,66
Ja Rule,72
Vyto Ruginis,47
Stanton Rutledge,29
Noel Gugliemi,179
RJ de Vera,29
Beau Holden,122
David Douglas,29
Peter 'Navy' Tuiasosopo,100
F. Valentino Morales,103
Neal H. Moritz,66
Rob Cohen,29
Kevin Smith,196
Doria Clare Anselmo,29
Glenn K. Ota,29
Mike White,198
Delphine Pacific,29
Monica Tamayo,29
Megan Baker,29
Tammy Monica Gegamian,29
Brad Pitt,401
Julia Ormond,47
Elle Fanning,201
Madisen Beaty,36
Jason Flemyng,248
Elias Koteas,254
Taraji P. Henson,137
Josh Stewart,65
Faune A. Chambers,166
Donna DuPlantier,36
Jacob Tolano,50
Ed Metzger,36
Danny Vinson,80
David Jensen,124
Joeanna Sayler,49
Rus Blackwell,36
Mahershala Ali,36
Adrian Armas,161
Phyllis Somerville,96
Lance E. Nichols,122
David Ross Paterson,36
Fiona Hale,72
Marion Zinser,55
Edith Ivey,36
Patrick Thomas O'Brien,287
Ted Manson,36
Clay Cullen,97
Paula Gray,36
Jared Harris,171
Earl Maddox,36
Bianca Chiminello,36
Emma Degerstedt,36
Megan Brown,36
Clay Chamberlin,95
Kurt Russell,116
Richard Dreyfuss,56
Josh Lucas,225
Jacinda Barrett,122
Emmy Rossum,97
Mike Vogel,114
Mía Maestro,30
Andre Braugher,96
Freddy Rodríguez,96
Kevin Dillon,28
Kirk B.R. Woller,65
Fergie,123
Gabriel Jarret,37
Mike Myers,275
Eddie Murphy,277
Cameron Diaz,241
Julie Andrews,155
Antonio Banderas,168
John Cleese,321
Eric Idle,104
Amy Sedaris,232
Justin Timberlake,137
Maya Rudolph,206
Susanne Blakeslee,40
Cody Cameron,134
Larry King,205
Christopher Knights,196
Cheri Oteri,133
Regis Philbin,55
Aron Warner,46
Jasper Johannes Andrews,40
Guillaume Aretos,66
Kelly Asbury,46
Zachary James Bernard,40
Andrew Birch,50
Kelly Cooney,46
Walt Dohrn,40
Dante James Hauser,40
Jordan Alexander Hauser,40
Tom Kane,75
Alina Phelan,46
Mark Valley,40
Kari Wahlgren,72
Ben Affleck,394
Josh Hartnett,345
Kate Beckinsale,290
Cuba Gooding Jr.,404
Jon Voight,585
Alec Baldwin,511
Tom Sizemore,203
William Lee Scott,181
Greg Zola,100
Ewen Bremner,275
Jaime King,248
Catherine Kellner,100
Jennifer Garner,369
Sara Rue,152
Michael Shannon,363
Dan Aykroyd,273
Colm Feore,309
Mako,143
John Fujioka,100
Cary-Hiroyuki Tagawa,182
Jesse James,194
Reiley McClendon,156
Steve Rankin,118
Brian Haley,219
Graham Beckel,179
Viv Weatherall,100
Angel Sing,111
Rufus Dorsey,154
Matthew Davis,160
David Hornsby,139
Scott Wilson,205
Howard Mungo,175
Randy Oglesby,250
Ping Wu,145
Stan Cahill,100
Tom Everett,154
Tomas Arana,181
Beth Grant,357
Sung Kang,265
Raphael Sbarge,100
Marty Belafsky,137
Yuji Okumoto,100
Josh Green,100
Ian Bohen,107
Michael Milhoan,119
Peter Firth,105
Marco Gould,100
Andrew Bryniarski,210
Nicholas Downs,100
Tim Choate,100
John Diehl,148
Joseph Patrick Kelly,100
Ron Harper,100
Ted McGinley,100
Madison Mason,119
Kim Coates,207
Paul Francis,161
Scott Wiper,100
Eric Christian Olsen,239
Rod Biermann,100
Noriaki Kamata,100
Garret Sato,146
Eiji Inoue,213
Precious Chong,100
Jeff Wadlow,100
Will Gill Jr.,194
Seth Sakai,100
Curtis Andersen,141
Blaine Pate,100
John Pyper-Ferguson,100
Michael Shamus Wiles,113
Toru Tanaka Jr.,100
Sean Gunn,110
Josh Ackerman,100
Matt Casper,100
David Kaufman,100
Lindsey Ginter,115
Guy Torry,127
Leland Orser,167
Peter James Smith,143
Pat Healy,141
Thomas Wilson Brown,100
Chad Morgan,100
James Saito,100
Tak Kubota,154
Robert Jayne,124
Vic Chao,100
Fred Koehler,112
Ben Easter,100
Cory Tucker,100
Abe Sylvia,100
Jason Liggett,100
Bret Roberts,100
Sean Faris,128
Nicholas Farrell,138
Tony Curran,274
Daniel Mays,327
Toshi Toda,163
Jaymee Ong,100
Rachael Taylor,62
Anthony Anderson,338
Michael O'Neill,120
Amaury Nolasco,170
Bernie Mac,253
Colton Haynes,37
Brian Stepanek,150
Michael Bay,76
John Robinson,59
Odette Annable,162
Zack Ward,237
Travis Van Winkle,46
Peter Jacobson,107
Chris Ellis,273
Samantha Smith,59
Rick Gomez,123
Tom Lenk,58
Michelle Pierce,37
Darius McCrary,155
Scott Peat,37
Colin Farrell,252
Angelina Jolie,364
Val Kilmer,305
Jared Leto,135
Jonathan Rhys Meyers,174
Anthony Hopkins,211
Jessie Kamm,50
Connor Paolo,103
Patrick Carroll,50
Peter Williamson,50
Morgan Christopher Ferris,50
Robert Earley,50
Aleczander Gordon,50
John Kavanagh,68
Gary Stretch,60
Rosario Dawson,301
Féodor Atkine,50
Toby Kebbell,148
Fiona O'Shaughnessy,50
Laird Macintosh,125
Francisco Bosch,50
