actor,degree
Kate Winslet,191
Leonardo DiCaprio,265
Frances Fisher,193
Billy Zane,230
Kathy Bates,188
Gloria Stuart,134
Bill Paxton,281
Bernard Hill,162
David Warner,307
Victor Garber,215
Jonathan Hyde,152
Suzy Amis,151
Lewis Abernathy,134
Nicholas Cascone,150
Danny Nucci,231
Jason Barry,134
Lew Palter,134
Eric Braeden,142
Bernard Fox,134
Ewan Stewart,157
Ioan Gruffudd,134
Jonny Phillips,134
Edward Fletcher,134
Scott G. Anderson,134
Martin East,134
Gregory Cooke,134
Alexandrea Owens,134
Seth Adkins,134
Michael Ensign,134
Anatoly M. Sagalevitch,134
Martin Hub,170
Mark Lindsay Chapman,134
Richard Graham,134
Paul Brightwell,153
Ron Donachie,134
Charlotte Chatton,134
Fannie Brett,134
Jenette Goldstein,217
Camilla Overbye Roos,134
Linda Kerns,134
Amy Gaipa,134
Martin Jarvis,134
Rosalind Ayres,144
Rochelle Rose,134
Jonathan Evans-Jones,134
Brian Walsh,134
Rocky Taylor,134
Craig Kelly,170
Liam Tuohy,134
Simon Crane,134
James Lancaster,155
Elsa Raven,134
Reece P. Thompson III,134
Laramie Landis,134
Mark Rafael Truitt,134
John Walcutt,134
Terry Forrestal,134
Derek Lea,134
Richard Ashton,248
Sean Nepita,134
Brendan Connolly,134
David Cronnelly,134
Garth Wilton,134
Richard Fox,134
Nick Meaney,134
Kevin Owers,134
Mark Capri,134
Marc Cass,170
Paul Herbert,134
Emmett James,134
Chris Byrne,134
Oliver Page,134
James Garrett,134
Erik Holland,136
Jari Kinnunen,134
Anders Falk,134
Barry Dennen,134
Vern Urich,134
Rebecca Klingler,226
Tricia O'Neil,134
Kathleen S. Dunn,134
Romeo Francis,134
Mandana Marino,134
Van Ling,174
Bjørn Olsen,134
Dan Pettersson,134
Shay Duffin,134
Greg Ellis,134
Diana Morgan,134
Kris Andersson,206
Bobbie Bates,134
Aaron James Cash,134
Anne Fletcher,491
Edmond Alan Forsyth,134
Andie Hicks,134
Scott Hislop,134
Stan Mazin,134
Lisa Ratzin,338
Julene Renee,134
Brian Baines,134
Ellie Bensinger,134
Alexandra Boyd,149
Mike Butters,134
James Cameron,134
Bruno Campolo,134
Chris Cragnotti,134
Kevyn Currie,134
Kevin De La Noy,134
Thomas Fiss,134
Griffin Howell,134
Sean Howse,134
Tony Kenny,134
Bret Aaron Knower,134
George Kosty III,134
George Kosty Jr.,134
Geoffrey C. Kosty,134
Gregory Charles Kosty,134
Sean Lawlor,188
John Leonhardt,134
Miguel A. Lomelin,134
Don Lynch,134
Johnny Martin,134
Ryan McClurkin,134
Meghan McLeod,134
Mike O'Neal,134
Julian Oros,134
Phil Parlapiano,134
Judy Prestininzi,134
Steven Quale,134
Olivia Rosewood,134
John Slade,134
Stephen Wolfe Smith,134
R. Gern Trowbridge,134
Francisco Váldez,134
Lucie Zolcerova,134
Will Smith,185
Kevin Kline,77
Kenneth Branagh,96
Salma Hayek,197
M. Emmet Walsh,118
Ted Levine,135
Frederique van der Wal,32
Musetta Vander,66
Sofia Eng,28
Garcelle Beauvais,28
Bai Ling,74
Rodney A. Grant,84
E.J. Callahan,28
Debra Christofferson,28
Buck Taylor,69
James Lashly,28
Dean Rader Duval,28
Jerry Wills,28
Mike H. McGaughy,28
Christian Aubert,43
Orestes Matacena,43
Ian Abercrombie,59
Ismael 'East' Carlo,55
Bob Rumnock,28
Gary Carlos Cervantes,102
Jerry Potter,28
Mik Scriba,74
Michael Sims,28
Natalie Fabry,28
Kevin Costner,309
Chaim Girafi,14
Rick Aviles,27
R. D. Call,14
Zitto Kazann,14
Jeanne Tripplehorn,85
Dennis Hopper,199
Jack Black,226
Zakes Mokae,35
Jack Kehler,142
Tina Majorino,14
Rita Zohar,14
Gerard Murphy,14
Michael Jeter,139
Kim Coates,28
Bruce Willis,525
Billy Bob Thornton,190
Ben Affleck,191
Liv Tyler,89
Will Patton,176
Steve Buscemi,309
William Fichtner,207
Michael Clarke Duncan,136
Peter Stormare,160
Owen Wilson,130
Ken Hudson Campbell,125
Jessica Steen,66
Chris Ellis,130
Keith David,129
Jason Isaacs,126
Marshall R. Teague,66
J. Patrick McCormack,66
Ian Quinn,66
Charlton Heston,207
Eddie Griffin,94
Sage Allen,82
Grace Zabriskie,94
Grayson McCouch,66
Clark Heathcliffe Brolly,66
Greg Collins,157
John Mahon,143
K.C. Leomiti,66
Stanley Anderson,95
James Harper,121
Harry Humphries,66
Ellen Cleghorne,66
Udo Kier,161
Anthony Guidera,118
Dyllan Christopher,138
Judith Hoag,66
Deborah Nishimura,66
Albert Wong,66
Jim Ishida,66
John Aylward,134
Mark Curry,66
Seiko Matsuda,83
Steven Ford,229
Christian Clemenson,143
Shawnee Smith,87
Bodhi Elfman,170
Dina Morrone,66
Patrick Lander,66
Brian Mulligan,66
Patrick Richwood,85
Frank Van Keeken,103
Googy Gress,196
Frederick Weller,66
Jeff Austin,126
Matt Malloy,155
H. Richard Greene,66
Brian Brophy,107
Peter Murnik,75
Brian Hayes Currie,66
Andy Milder,66
Michael Kaplan,66
Duke Valenti,66
Michael Taliferro,97
Billy Devlin,89
Michele Edison,66
Michael Bay,91
Mary Ann Schmidt,174
Judi Beecher,66
Mel Gibson,186
Danny Glover,180
Joe Pesci,332
Rene Russo,106
Jet Li,20
Darlene Love,21
Traci Wolfe,21
Kim Chan,191
Steve Kahan,105
Damon Hines,21
Ebonie Smith,21
Michael Chow,20
Danny Arroyo,20
Elizabeth Sung,20
Chris Rock,69
Bob Jennings,20
Jeanne Chinn,20
Conan Lee,20
Mary Ellen Trainor,139
Jessica Jann,20
Eddy Ko,20
Pierce Brosnan,160
Sophie Marceau,73
Robert Carlyle,106
Denise Richards,112
Robbie Coltrane,57
Desmond Llewelyn,61
John Cleese,77
Maria Grazia Cucinotta,19
Samantha Bond,61
Michael Kitchen,33
Colin Salmon,48
David Calder,19
Serena Scott Thomas,19
Judi Dench,117
Ulrich Thomsen,39
Claude-Oliver Rudolph,19
Patrick Malahide,61
Omid Djalili,19
Jeff Nuttall,19
John Albasiny,19
Arnold Schwarzenegger,234
Sharon Stone,135
Rachel Ticotin,118
Ronny Cox,20
Michael Ironside,57
Marshall Bell,20
Roy Brocksmith,105
Ray Baker,99
Rosemary Dunsmore,20
Dean Norris,166
Debbie Lee Carrington,20
Lycia Naff,20
Robert Costanzo,20
Marc Alaimo,20
Michael Gregory,20
Mickey Jones,47
Robert Picardo,59
Michael Champion,20
Mel Johnson Jr.,20
David Knell,20
Alexia Robinson,20
Antonio Banderas,200
Vladimir Kulich,18
Dennis Storhøi,18
Daniel Southern,18
Clive Russell,18
Mischa Hausserman,34
Richard Bremmer,18
Diane Venora,136
Neil Maffin,18
John DeSantis,18
Oliver Sveinall,18
Asbjørn 'Bear' Riis,18
Tony Curran,18
Albie Woodington,18
Omar Sharif,18
Erick Avari,86
John Bear Curtis,18
Andrew Kavadas,18
Richard Ooms,36
George Clooney,139
Chris O'Donnell,27
Uma Thurman,77
Alicia Silverstone,39
Michael Gough,58
Pat Hingle,68
Elle Macpherson,18
John Glover,52
Vivica A. Fox,133
Robert Swenson,13
Coolio,26
Jesse Ventura,27
Ralf Moeller,13
Liam Neeson,149
Ewan McGregor,131
Natalie Portman,205
Jake Lloyd,76
Ian McDiarmid,57
Anthony Daniels,57
Kenny Baker,57
Pernilla August,57
Frank Oz,110
Oliver Ford Davies,73
Hugh Quarshie,71
Ahmed Best,57
Terence Stamp,111
Samuel L. Jackson,637
Ray Park,80
Peter Serafinowicz,57
Keira Knightley,57
Silas Carson,57
Brian Blessed,128
Andrew Secombe,57
Lewis Macleod,57
Greg Proops,57
Scott Capurro,80
Dominic West,109
Sofia Coppola,94
Ralph Brown,189
Steve Speirs,100
Warwick Davis,57
Jerome Blake,57
Alan Ruscoe,170
Celia Imrie,71
Benedict Taylor,57
Clarence Smith,57
Karol Cristina da Silva,57
Liz Wilson,57
Candice Orwell,57
Bronagh Gallagher,119
John Fensom,57
Margaret Towner,57
Dhruv Chanchani,57
Oliver Walpole,57
Katie Lucas,57
Megan Udall,57
Hassani Shapi,57
Gin Clarke,170
Khan Bonfils,57
Michelle Taylor,57
Michaela Cottrell,57
Dipika O'Neill Joti,57
Phil Eason,57
Mark Coulier,57
Lindsay Duncan,57
James Taylor,57
Chris Sanders,57
Toby Longworth,57
Marc Silk,57
Amanda Lucas,57
Danny Wagner,57
Linda Hamilton,70
Jamie Renée Smith,15
Jeremy Foley,15
Elizabeth Hoffman,24
Charles Hallahan,32
Grant Heslov,86
Kirk Trutner,15
Arabella Field,15
Tzi Ma,89
Brian Reddy,15
Lee Garlington,15
Bill Bolender,135
Carole Androsky,15
Peter Jason,46
Christopher Murray,15
Jonathan Pryce,131
Michelle Yeoh,33
Teri Hatcher,33
Ricky Jay,172
Götz Otto,33
Joe Don Baker,114
Vincent Schiavelli,71
Geoffrey Palmer,75
Julian Fellowes,46
Terence Rigby,33
Nina Young,52
Daphne Deckers,33
Colin Stinton,33
Al Matthews,147
Cecilie Thomsen,33
Mark Spalding,33
Bruce Alexander,33
Anthony Green,33
Christopher Bowen,33
Andrew Hawkins,33
Dominic Shaun,33
Julian Rhind-Tutt,58
Gerard Butler,33
Michael Byrne,111
Pip Torrens,89
Hugh Bonneville,58
Jason Watkins,54
Brendan Coyle,33
Nadia Cameron-Blakey,33
Sandra Bullock,166
Jason Patric,35
Willem Dafoe,131
Temuera Morrison,92
Mike Hagerty,46
Colleen Camp,102
Joe Morton,191
Glenn Plummer,114
Bo Svenson,15
Kimmy Robertson,15
Jessica Diz,15
Tamia,15
Brian McCardie,52
Christine Firkins,15
Michael O'Hagan,43
Ben Meyerson,28
Michael J. Fox,106
Geena Davis,85
Hugh Laurie,113
Jonathan Lipnicki,39
Nathan Lane,55
Jeffrey Jones,170
Connie Ray,71
Allyce Beasley,17
Brian Doyle-Murray,237
Estelle Getty,17
Harold Gould,44
Chazz Palminteri,108
Steve Zahn,123
Bruno Kirby,151
Jennifer Tilly,132
David Alan Grier,57
Jim Doughan,32
Julia Sweeney,96
Robert Patrick,170
Edward Furlong,114
Michael Edwards,41
Earl Boen,41
Xander Berkeley,162
S. Epatha Merkerson,64
Castulo Guerra,41
Danny Cooksey,41
Sven-Ole Thorsen,166
DeVaughn Nixon,99
Ken Gibbel,41
Robert Winley,56
Pete Schrum,41
Don Lake,56
Richard Vidan,41
Jim Palmer,41
Don Stanton,66
Dan Stanton,66
Colin Patrick Lynch,41
Nikki Cox,52
Tony Simotes,41
Abdul Salaam El Razzac,109
Mike Muscat,41
Charles A. Tamburro,89
Terrence Evans,41
Denney Pierce,92
Mark Christopher Lawrence,69
Gerard G. Williams,78
Martin DeLuca,41
Scott Shaw,41
Joel Kramer,41
Richard Ruskin,41
Randy Walker,41
William Wisher Jr.,41
Nancy Fish,75
Dalton Hamilton,41
Jamie Lee Curtis,17
Tom Arnold,65
Tia Carrere,59
Art Malik,9
Eliza Dushku,9
Marshall Manesh,49
James Caan,64
Vanessa Williams,95
James Coburn,57
Robert Pastorelli,81
James Cromwell,230
Nick Chinlund,60
Michael Papajohn,54
Joe Viterelli,77
Mark Rolston,83
John Slattery,17
Robert Miranda,65
Roma Maffia,45
Melora Walters,193
Olek Krupa,79
Skipp Sudduth,99
Andy Romano,89
Tom Hulce,16
Demi Moore,139
Tony Jay,16
Paul Kandel,16
Charles Kimbrough,16
Jason Alexander,32
Mary Wickes,16
David Ogden Stiers,145
Mary Kay Bergman,61
Corey Burton,143
Heidi Mollenhauer,16
Jim Cummings,91
Bill Fagerbakke,16
Patrick Pinney,36
Gary Trousdale,16
Frank Welker,300
Gabriel Byrne,167
Kevin Pollak,158
Robin Tunney,26
CCH Pounder,71
Rod Steiger,128
Derrick O'Connor,26
Miriam Margolyes,133
Mark Margolis,75
Jonny Bogris,12
Victor Varnado,12
Val Kilmer,210
Tommy Lee Jones,231
Jim Carrey,211
Nicole Kidman,86
Drew Barrymore,181
Debi Mazar,316
Elizabeth Sanders,16
Rene Auberjonois,31
Joe Grifasi,53
Philip Moon,56
Jessica Tuck,16
Dennis Paladino,16
Don Wilson,16
Bob Zmuda,31
Casper Van Dien,22
Dina Meyer,47
Jake Busey,230
Neil Patrick Harris,19
Clancy Brown,186
Patrick Muldoon,33
Seth Gilliam,51
Rue McClanahan,19
Blake Lindsley,79
Ungela Brockman,51
Bruce Gray,19
Denise Dowse,19
Amy Smart,54
Tami-Adrian George,19
Julianna McCarthy,19
Dale Dye,140
Steve Martin,102
Campbell Scott,8
Ben Gazzara,145
Rebecca Pidgeon,5
Felicity Huffman,56
Gary Oldman,368
Ian Holm,137
Milla Jovovich,203
Chris Tucker,164
Luke Perry,114
Brion James,114
Tom Lister Jr.,161
Vin Diesel,179
Lee Evans,132
Charlie Creed-Miles,114
Tricky,114
John Neville,200
John Bluthal,131
Mathieu Kassovitz,114
Christopher Fairbank,137
Julie T. Wallace,114
Maïwenn,114
Mac McDonald,114
Indra Ové,128
Genevieve Maylam,114
Jason Salkey,114
Michael Culkin,114
Hon Ping Tang,114
Vincenzo Pellegrino,114
Richard Leaf,195
Ivan Heng,114
Sonita Henry,114
Tim McMullan,141
George Khan,114
John Hughes,114
Roberto Bryce,114
Said Talidi,114
Clifton Lloyd Bryan,114
Justin Lee Burrows,114
Jerome St. John Blake,114
Kevin Molloy,114
Bill Reimbold,114
Colin Brooks,114
Anthony Chinn,114
Sam Douglas,114
Derek Ezenagu,114
David Kennedy,114
David Barrass,114
Roger Monk,114
Mark Seaton,114
Jean-Luc Caron,147
Riz Meedin,114
Jerry Ezekiel,114
Rachel Willis,114
Natasha Brice,114
Sophia Goth,114
Martin McDougall,114
Pete Dunwell,114
Paul Priestley,114
Stewart Harvey-Wilson,135
David Fishley,114
Carlton Chance,114
Vladimir McCrary,114
Aron Paramor,114
Christopher Adamson,177
Ève Salvail,114
Kaleem Janjua,114
Tyrone Tyrell,114
Kevin Brewerton,114
Ian Beckett,114
Sonny Caldinez,114
Zeta Graff,114
Eddie Ellwood,114
Yui,114
Laura De Palma,114
Lenny McLean,140
Robert Oates,114
John Sharian,132
Fred Williams,114
Sibyl Buck,114
Sarah Carrington,114
Ali Yassine,138
Sean Buckley,114
Dane Messam,114
Nathan Hamlett,114
Cecil Cheng,114
Scott Woods,114
Leon Dekker,114
David Garvey,114
Stanley Kowalski,114
Omar Williams,114
Robert Clapperton,114
Robert Alexander,114
Mia Frye,114
Leo Williams,114
C. Keith Martin,114
J.D. Dawodu,114
Patrick Nicholls,114
Shaun Davis,114
Roy Garcia,114
Alex Georgijev,114
Marie Guillard,147
Renee Montemayor,114
Stina Richardson,114
Kristen Fick,189
François Guillaume,144
Anita Koh,114
Kamay Lau,114
Tracy Redington,114
Gito Santana,114
Frank Senger,151
Joss Skottowe,114
Roger Wright,114
John Bennett,114
Matthew Modine,95
Frank Langella,74
Maury Chaykin,147
Stan Shaw,69
Rex Linn,152
Paul Dillon,149
Christopher Masterson,104
Jimmie F. Skaggs,30
Harris Yulin,146
Carl Chase,53
Peter Geeves,30
Angus Wright,30
Ken Bones,65
Mary Peach,30
Thomas Lockyer,30
Roger Booth,30
George Murcell,30
Simon Atherton,30
Dickey Beer,30
Christopher Halliday,30
Chris Johnston,30
Tam White,82
Rupert Vansittart,139
Nick Bartlett,30
David Bailie,61
Kwame Kwei-Armah,30
Ramon Tikaram,33
Linda Fiorentino,61
Vincent D'Onofrio,210
Rip Torn,93
Tony Shalhoub,94
Mike Nussbaum,17
Jon Gries,37
Sergio Calderón,17
Carel Struycken,35
Fredric Lehne,60
Richard Hamilton,44
Kent Faulcon,56
Siobhan Fallon,141
John Alexander,32
Keith Campbell,108
Sylvester Stallone,150
Danny DeVito,347
Tom Hanks,316
Tim Allen,56
Joan Cusack,106
Kelsey Grammer,34
Don Rickles,151
Jim Varney,26
Wallace Shawn,55
John Ratzenberger,39
Annie Potts,26
Wayne Knight,168
John Morris,26
Laurie Metcalf,246
Estelle Harris,23
R. Lee Ermey,139
Jodi Benson,38
Jonathan Harris,36
Joe Ranft,36
Andrew Stanton,23
Jeff Pidgeon,23
John Lasseter,23
Mickie McGowan,68
Phil Proctor,92
Lee Unkrich,23
Eddie Murphy,138
Jackie Chan,67
Ming-Na Wen,33
Lea Salonga,42
June Foray,44
Soon-Tek Oh,20
Freda Foh Shen,20
James Hong,130
BD Wong,76
Donny Osmond,20
Pat Morita,57
Harvey Fierstein,134
Marni Nixon,20
George Takei,49
Jerry Tondo,20
Gedde Watanabe,95
Miguel Ferrer,20
James Shigeta,20
Matthew Wilder,20
Jeremy Irons,73
Graham Greene,104
Larry Bryggman,16
Anthony Peck,46
Nicholas Wyman,16
Sam Phillips,16
Kevin Chamberlin,16
Sharon Washington,84
Stephen Pearlman,28
Michael Alexander Jackson,16
Aldis Hodge,16
Michael Cristofer,16
